sep=;
dataset_name;grounder;kge;model_name;rule_miner;seed;kge_atom_embedding_size;batch_size;val_batch_size;test_batch_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;corrupt_mode;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;predicate_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;kge_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;kge_checkpoint_load;keys_signature;run_signature;seed_run_i;time_ground_train;time_ground_valid;time_train;time_ground_test;time_inference;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@10@10;time_ground_train;time_ground_valid;time_train;time_ground_test;time_inference
countries_s1;backward_unknown2_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_1-complex-dcr-None-1-100;4;0.05;0.05;21.62;0.01;0.19;[0.21, 0.251];[0.187, 0.244];[0.19, 0.241];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.36, 0.034];[0.327, 0.034];[0.346, 0.042];[0.884, 0.031];[0.854, 0.033];[0.9, 0.032];[0.934, 0.037];[0.911, 0.017];[0.862, 0.022];[0.95, 0.017];[0.998, 0.004];[0.297, 0.074];[0.285, 0.064];[0.264, 0.074];[0.938, 0.033];[0.896, 0.054];[0.98, 0.022];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.04, 0.009];[0.042, 0.004];[14.508, 3.632];[0.01, 0.0];[0.104, 0.043]
countries_s1;backward_unknown1_2;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_2-complex-dcr-None-1-100;4;[0.312, 0.306];[0.287, 0.298];[0.289, 0.296];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.36, 0.021];[0.327, 0.021];[0.341, 0.023];[0.857, 0.044];[0.822, 0.047];[0.876, 0.039];[0.924, 0.042];[0.913, 0.026];[0.878, 0.037];[0.94, 0.033];[0.988, 0.012];[0.328, 0.093];[0.312, 0.078];[0.294, 0.09];[0.915, 0.032];[0.848, 0.056];[0.988, 0.016];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0];[0.18, 0.0];[0.206, 0.015];[23.576, 0.309];[0.028, 0.004];[0.22, 0.015]
countries_s1;backward_unknown1_2;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_2-complex-sbr-None-1-100;4;[0.216, 0.268];[0.216, 0.27];[0.216, 0.268];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.364, 0.042];[0.352, 0.034];[0.377, 0.051];[0.864, 0.032];[0.83, 0.036];[0.878, 0.037];[0.924, 0.033];[0.913, 0.017];[0.862, 0.024];[0.95, 0.023];[0.988, 0.01];[0.295, 0.067];[0.308, 0.063];[0.282, 0.072];[0.922, 0.023];[0.864, 0.043];[0.984, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.162, 0.046];[0.174, 0.043];[19.848, 1.816];[0.028, 0.004];[0.216, 0.019]
countries_s1;backward_unknown1_2;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_2-complex-r2n-None-1-100;4;[0.293, 0.204];[0.313, 0.207];[0.272, 0.202];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.323, 0.023];[0.279, 0.037];[0.366, 0.025];[0.825, 0.017];[0.78, 0.021];[0.852, 0.029];[0.908, 0.029];[0.886, 0.01];[0.822, 0.013];[0.938, 0.015];[0.998, 0.004];[0.265, 0.046];[0.316, 0.055];[0.214, 0.037];[0.896, 0.019];[0.82, 0.022];[0.976, 0.02];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.164, 0.048];[0.214, 0.008];[19.916, 0.185];[0.03, 0.0];[0.218, 0.007]
countries_s1;backward_unknown1_2;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_2-complex-no_reasoner-None-1-100;4;[0.002, 0.003];[0.002, 0.003];[0.002, 0.003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.415, 0.042];[0.415, 0.042];[0.415, 0.042];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.319, 0.048];[0.319, 0.048];[0.319, 0.048];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.07, 0.02];[0.078, 0.024];[17.352, 0.192];[0.004, 0.005];[0.19, 0.0]
countries_s1;backward_unknown1_3;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_3-complex-dcr-None-1-100;4;[0.312, 0.306];[0.287, 0.298];[0.289, 0.296];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.36, 0.021];[0.327, 0.021];[0.341, 0.023];[0.857, 0.044];[0.822, 0.047];[0.876, 0.039];[0.924, 0.042];[0.913, 0.026];[0.878, 0.037];[0.94, 0.033];[0.988, 0.012];[0.328, 0.093];[0.312, 0.078];[0.294, 0.09];[0.915, 0.032];[0.848, 0.056];[0.988, 0.016];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0];[0.19, 0.0];[0.212, 0.023];[24.854, 2.569];[0.032, 0.004];[0.226, 0.008]
countries_s1;backward_unknown1_3;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_3-complex-sbr-None-1-100;4;[0.216, 0.268];[0.216, 0.27];[0.216, 0.268];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.364, 0.042];[0.352, 0.034];[0.377, 0.051];[0.864, 0.032];[0.83, 0.036];[0.878, 0.037];[0.924, 0.033];[0.913, 0.017];[0.862, 0.024];[0.95, 0.023];[0.988, 0.01];[0.295, 0.067];[0.308, 0.063];[0.282, 0.072];[0.922, 0.023];[0.864, 0.043];[0.984, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.152, 0.055];[0.162, 0.056];[18.842, 0.264];[0.032, 0.004];[0.23, 0.0]
countries_s1;backward_unknown1_3;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_3-complex-r2n-None-1-100;4;[0.293, 0.204];[0.313, 0.207];[0.272, 0.202];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.323, 0.023];[0.279, 0.037];[0.366, 0.025];[0.825, 0.017];[0.78, 0.021];[0.852, 0.029];[0.908, 0.029];[0.886, 0.01];[0.822, 0.013];[0.938, 0.015];[0.998, 0.004];[0.265, 0.046];[0.316, 0.055];[0.214, 0.037];[0.896, 0.019];[0.82, 0.022];[0.976, 0.02];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.192, 0.004];[0.21, 0.015];[20.034, 0.134];[0.028, 0.004];[0.22, 0.02]
countries_s1;backward_unknown1_3;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_3-complex-no_reasoner-None-1-100;4;[0.002, 0.003];[0.002, 0.003];[0.002, 0.003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.415, 0.042];[0.415, 0.042];[0.415, 0.042];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.319, 0.048];[0.319, 0.048];[0.319, 0.048];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.08, 0.0];[0.09, 0.0];[17.344, 0.28];[0.004, 0.005];[0.19, 0.006]
countries_s1;backward_unknown2_1;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_1-complex-r2n-None-1-100;4;0.16;0.2;20.36;0.03;0.22;[0.394, 0.098];[0.424, 0.102];[0.364, 0.093];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.329, 0.011];[0.302, 0.017];[0.355, 0.007];[0.832, 0.017];[0.794, 0.027];[0.84, 0.006];[0.916, 0.012];[0.895, 0.013];[0.838, 0.03];[0.932, 0.02];[1.0, 0.0];[0.294, 0.02];[0.35, 0.024];[0.238, 0.016];[0.905, 0.01];[0.836, 0.015];[0.972, 0.01];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.174, 0.067];[0.182, 0.016];[21.36, 1.666];[0.03, 0.0];[0.222, 0.004]
countries_s1;backward_unknown2_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_1-complex-dcr-None-1-100;4;0.07;0.08;24.03;0.03;0.23;[0.163, 0.261];[0.144, 0.253];[0.148, 0.251];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.376, 0.018];[0.343, 0.018];[0.369, 0.026];[0.867, 0.036];[0.836, 0.041];[0.886, 0.048];[0.928, 0.035];[0.9, 0.015];[0.852, 0.028];[0.934, 0.012];[0.994, 0.012];[0.297, 0.073];[0.292, 0.06];[0.266, 0.072];[0.921, 0.031];[0.868, 0.053];[0.98, 0.013];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.18, 0.076];[0.168, 0.047];[25.566, 1.958];[0.03, 0.0];[0.228, 0.007]
countries_s1;backward_unknown2_1;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_1-complex-sbr-None-1-100;4;0.18;0.21;19.39;0.03;0.22;[0.008, 0.011];[0.007, 0.011];[0.009, 0.011];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.423, 0.056];[0.4, 0.051];[0.446, 0.062];[0.902, 0.015];[0.88, 0.021];[0.908, 0.019];[0.946, 0.014];[0.912, 0.018];[0.86, 0.03];[0.954, 0.01];[1.0, 0.0];[0.293, 0.047];[0.311, 0.053];[0.275, 0.043];[0.944, 0.021];[0.904, 0.043];[0.992, 0.01];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.198, 0.056];[0.262, 0.155];[20.162, 1.706];[0.03, 0.0];[0.222, 0.004]
countries_s2;backward_unknown2_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_unknown2_1-complex-dcr-None-1-100;4;20.0;27.98;165.29;4.6;4.8;[0.068, 0.077];[0.046, 0.067];[0.044, 0.065];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.399, 0.046];[0.375, 0.057];[0.375, 0.057];[0.789, 0.02];[0.757, 0.028];[0.796, 0.021];[0.845, 0.014];[0.808, 0.009];[0.786, 0.011];[0.806, 0.012];[0.847, 0.018];[0.32, 0.022];[0.298, 0.027];[0.294, 0.03];[0.927, 0.011];[0.876, 0.015];[0.978, 0.023];[1.0, 0.0];[0.929, 0.013];[0.88, 0.015];[0.978, 0.023];[1.0, 0.0];[19.249, 1.386];[25.377, 1.459];[162.967, 4.764];[3.993, 0.362];[4.193, 0.366]
countries_s2;backward_unknown2_1;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_unknown2_1-complex-sbr-None-1-100;4;20.51;27.52;90.13;3.97;4.17;[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.437, 0.041];[0.437, 0.041];[0.437, 0.041];[0.811, 0.01];[0.784, 0.022];[0.82, 0.011];[0.862, 0.02];[0.821, 0.006];[0.8, 0.006];[0.82, 0.011];[0.862, 0.02];[0.344, 0.046];[0.345, 0.046];[0.344, 0.046];[0.944, 0.015];[0.908, 0.02];[0.976, 0.02];[1.0, 0.0];[0.944, 0.015];[0.908, 0.02];[0.976, 0.02];[1.0, 0.0];[19.502, 0.615];[25.642, 0.876];[87.997, 2.307];[4.001, 0.32];[4.199, 0.317]
countries_s2;backward_unknown2_2;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_unknown2_2-complex-dcr-None-1-100;4;42.42;22.04;181.1;31.65;31.87;[0.307, 0.321];[0.272, 0.308];[0.27, 0.308];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.374, 0.019];[0.339, 0.01];[0.339, 0.01];[0.77, 0.021];[0.738, 0.02];[0.774, 0.024];[0.828, 0.035];[0.79, 0.012];[0.766, 0.01];[0.788, 0.017];[0.834, 0.031];[0.376, 0.072];[0.342, 0.059];[0.339, 0.06];[0.895, 0.035];[0.832, 0.045];[0.948, 0.037];[1.0, 0.0];[0.905, 0.031];[0.848, 0.041];[0.948, 0.037];[1.0, 0.0];[37.682, 6.898];[26.49, 2.41];[181.87, 7.736];[31.454, 1.83];[31.68, 1.832]
countries_s2;backward_unknown2_2;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_unknown2_2-complex-sbr-None-1-100;4;53.64;35.38;159.2;36.45;36.65;[0.088, 0.162];[0.088, 0.163];[0.087, 0.16];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.381, 0.06];[0.381, 0.06];[0.381, 0.06];[0.811, 0.006];[0.778, 0.01];[0.822, 0.012];[0.864, 0.026];[0.825, 0.008];[0.802, 0.012];[0.83, 0.011];[0.864, 0.026];[0.311, 0.034];[0.312, 0.035];[0.31, 0.033];[0.939, 0.022];[0.9, 0.031];[0.968, 0.02];[1.0, 0.0];[0.939, 0.022];[0.9, 0.031];[0.968, 0.02];[1.0, 0.0];[39.162, 9.817];[28.848, 3.508];[121.158, 19.156];[31.842, 3.816];[32.052, 3.85]
countries_s2;backward_unknown2_2;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_unknown2_2-complex-r2n-None-1-100;4;41.21;29.19;237.72;39.29;39.78;[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.377, 0.027];[0.376, 0.028];[0.379, 0.026];[0.815, 0.013];[0.784, 0.017];[0.818, 0.019];[0.868, 0.023];[0.817, 0.008];[0.788, 0.017];[0.818, 0.019];[0.868, 0.023];[0.301, 0.028];[0.301, 0.028];[0.301, 0.028];[0.95, 0.02];[0.916, 0.027];[0.988, 0.016];[1.0, 0.0];[0.95, 0.02];[0.916, 0.027];[0.988, 0.016];[1.0, 0.0];[45.738, 5.217];[31.048, 3.715];[232.802, 22.098];[34.778, 4.394];[35.092, 4.469]
countries_s2;backward_unknown3_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_unknown3_1-complex-dcr-None-1-100;4;52.63;58.19;500.38;8.53;8.83;[0.104, 0.088];[0.074, 0.08];[0.071, 0.078];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.375, 0.049];[0.344, 0.058];[0.344, 0.058];[0.775, 0.017];[0.738, 0.021];[0.786, 0.012];[0.838, 0.017];[0.801, 0.01];[0.776, 0.01];[0.8, 0.009];[0.842, 0.025];[0.321, 0.028];[0.292, 0.031];[0.287, 0.033];[0.917, 0.01];[0.86, 0.018];[0.98, 0.018];[1.0, 0.0];[0.921, 0.014];[0.868, 0.016];[0.98, 0.018];[1.0, 0.0];[44.728, 4.239];[50.694, 5.087];[482.148, 17.238];[9.062, 1.686];[9.402, 1.746]
countries_s2;backward_unknown2_3;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_unknown2_3-complex-dcr-None-1-100;4;44.31;34.61;196.08;35.53;35.83;[0.066, 0.049];[0.042, 0.038];[0.039, 0.036];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.395, 0.057];[0.37, 0.068];[0.37, 0.068];[0.786, 0.01];[0.752, 0.015];[0.794, 0.016];[0.848, 0.017];[0.807, 0.009];[0.784, 0.01];[0.802, 0.012];[0.852, 0.023];[0.312, 0.026];[0.288, 0.033];[0.284, 0.035];[0.926, 0.009];[0.876, 0.008];[0.98, 0.022];[1.0, 0.0];[0.928, 0.012];[0.88, 0.013];[0.98, 0.022];[1.0, 0.0];[47.734, 2.622];[33.698, 2.435];[226.662, 36.437];[32.68, 8.274];[32.968, 8.328]
countries_s2;backward_unknown3_1;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_unknown3_1-complex-sbr-None-1-100;4;38.52;47.33;147.2;6.26;6.47;[0.006, 0.011];[0.006, 0.011];[0.005, 0.01];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.419, 0.042];[0.419, 0.042];[0.419, 0.042];[0.801, 0.026];[0.766, 0.034];[0.82, 0.024];[0.862, 0.037];[0.825, 0.015];[0.802, 0.017];[0.828, 0.015];[0.868, 0.029];[0.35, 0.037];[0.351, 0.036];[0.349, 0.037];[0.925, 0.026];[0.872, 0.039];[0.988, 0.01];[1.0, 0.0];[0.931, 0.017];[0.884, 0.02];[0.988, 0.01];[1.0, 0.0];[44.43, 8.131];[49.902, 7.672];[157.486, 10.538];[7.766, 1.783];[8.0, 1.819]
