sep=;
seed;model_name;dataset_name;grounder;kge;rule_miner;kge_atom_embedding_size;batch_size;val_batch_size;test_batch_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;keys_signature;run_signature;seed_run_i;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;time
[0, 1, 2, 3, 4];rnm;countries_s2;backward_2;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_2-complex-rnm-None-1-100;4;[0.14, 0.229];[0.14, 0.229];[0.14, 0.229];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.368, 0.056];[0.368, 0.056];[0.368, 0.056];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.368, 0.061];[0.368, 0.061];[0.368, 0.061];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[25.814, 1.556]
[0, 1, 2, 3, 4];dcr;countries_s2;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_3-complex-dcr-None-1-100;4;[0.14, 0.229];[0.14, 0.229];[0.14, 0.229];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.368, 0.056];[0.368, 0.056];[0.368, 0.056];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.368, 0.061];[0.368, 0.061];[0.368, 0.061];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[30.491, 0.146]
[0, 1, 2, 3, 4];no_reasoner;countries_s2;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_3-complex-no_reasoner-None-1-100;4;[0.14, 0.229];[0.14, 0.229];[0.14, 0.229];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.368, 0.056];[0.368, 0.056];[0.368, 0.056];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.368, 0.061];[0.368, 0.061];[0.368, 0.061];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[12.464, 1.628]
[0, 1, 2, 3, 4];sbr;countries_s2;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_3-complex-sbr-None-1-100;4;[0.14, 0.229];[0.14, 0.229];[0.14, 0.229];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.368, 0.056];[0.368, 0.056];[0.368, 0.056];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.368, 0.061];[0.368, 0.061];[0.368, 0.061];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[25.193, 0.123]
[0, 1, 2, 3, 4];r2n;countries_s2;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_3-complex-r2n-None-1-100;4;[0.14, 0.229];[0.14, 0.229];[0.14, 0.229];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.368, 0.056];[0.368, 0.056];[0.368, 0.056];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.368, 0.061];[0.368, 0.061];[0.368, 0.061];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[25.757, 0.093]
[0, 1, 2, 3, 4];rnm;countries_s2;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_3-complex-rnm-None-1-100;4;[0.14, 0.229];[0.14, 0.229];[0.14, 0.229];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.368, 0.056];[0.368, 0.056];[0.368, 0.056];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.368, 0.061];[0.368, 0.061];[0.368, 0.061];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[26.225, 1.853]
[0, 1, 2, 3, 4];dcr;countries_s3;backward_1;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_1-complex-dcr-None-1-100;4;[0.013, 0.005];[0.004, 0.005];[0.017, 0.005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.568, 0.067];[0.477, 0.048];[0.65, 0.087];[0.731, 0.013];[0.712, 0.013];[0.72, 0.013];[0.756, 0.008];[0.722, 0.007];[0.75, 0.017];[0.439, 0.07];[0.47, 0.072];[0.402, 0.07];[0.836, 0.019];[0.744, 0.027];[0.908, 0.02];[0.968, 0.005];[0.944, 0.008];[0.988, 0.016];[45.944, 0.28]
[0, 1, 2, 3, 4];no_reasoner;countries_s3;backward_1;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_1-complex-no_reasoner-None-1-100;4;[0.042, 0.082];[0.042, 0.082];[0.042, 0.082];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.461, 0.073];[0.461, 0.073];[0.461, 0.073];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.497, 0.075];[0.497, 0.075];[0.497, 0.075];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[11.504, 0.068]
[0, 1, 2, 3, 4];sbr;countries_s3;backward_1;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_1-complex-sbr-None-1-100;4;[0.151, 0.244];[0.149, 0.245];[0.153, 0.243];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.428, 0.094];[0.387, 0.065];[0.469, 0.124];[0.711, 0.005];[0.688, 0.007];[0.706, 0.008];[0.737, 0.015];[0.696, 0.019];[0.73, 0.013];[0.38, 0.041];[0.41, 0.045];[0.349, 0.044];[0.823, 0.01];[0.72, 0.013];[0.916, 0.015];[0.961, 0.008];[0.936, 0.015];[0.984, 0.008];[38.618, 2.04]
[0, 1, 2, 3, 4];r2n;countries_s3;backward_1;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_1-complex-r2n-None-1-100;4;[0.566, 0.09];[0.604, 0.092];[0.527, 0.088];[0.999, 0.002];[0.998, 0.004];[1.0, 0.0];[0.999, 0.001];[0.999, 0.001];[1.0, 0.0];[0.366, 0.01];[0.342, 0.009];[0.39, 0.021];[0.647, 0.03];[0.614, 0.034];[0.65, 0.03];[0.752, 0.01];[0.728, 0.012];[0.752, 0.013];[0.372, 0.008];[0.407, 0.009];[0.337, 0.007];[0.809, 0.019];[0.712, 0.027];[0.88, 0.036];[0.896, 0.01];[0.844, 0.015];[0.932, 0.02];[38.909, 0.183]
[0, 1, 2, 3, 4];rnm;countries_s3;backward_1;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_1-complex-rnm-None-1-100;4;[0.042, 0.082];[0.041, 0.082];[0.043, 0.082];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.465, 0.068];[0.464, 0.067];[0.466, 0.068];[0.731, 0.004];[0.712, 0.004];[0.724, 0.01];[0.732, 0.004];[0.712, 0.004];[0.724, 0.01];[0.464, 0.055];[0.489, 0.063];[0.438, 0.048];[0.835, 0.02];[0.744, 0.039];[0.912, 0.02];[0.837, 0.021];[0.744, 0.039];[0.928, 0.032];[37.775, 0.311]
[0, 1, 2, 3, 4];dcr;countries_s3;backward_2;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_2-complex-dcr-None-1-100;4;[0.075, 0.148];[0.063, 0.125];[0.063, 0.125];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.504, 0.073];[0.492, 0.092];[0.492, 0.092];[0.729, 0.005];[0.708, 0.007];[0.724, 0.01];[0.729, 0.005];[0.708, 0.007];[0.724, 0.01];[0.502, 0.068];[0.49, 0.083];[0.49, 0.083];[0.843, 0.02];[0.756, 0.029];[0.916, 0.02];[0.843, 0.02];[0.756, 0.029];[0.916, 0.02];[84.801, 2.147]
[0, 1, 2, 3, 4];no_reasoner;countries_s3;backward_2;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_2-complex-no_reasoner-None-1-100;4;[0.042, 0.082];[0.042, 0.082];[0.042, 0.082];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.461, 0.073];[0.461, 0.073];[0.461, 0.073];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.497, 0.075];[0.497, 0.075];[0.497, 0.075];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[11.44, 0.057]
[0, 1, 2, 3, 4];sbr;countries_s3;backward_2;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_2-complex-sbr-None-1-100;4;[0.042, 0.082];[0.042, 0.082];[0.042, 0.082];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.461, 0.073];[0.461, 0.073];[0.461, 0.073];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.497, 0.075];[0.497, 0.075];[0.497, 0.075];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[77.672, 3.024]
[0, 1, 2, 3, 4];r2n;countries_s3;backward_2;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_2-complex-r2n-None-1-100;4;[0.003, 0.006];[0.003, 0.006];[0.002, 0.004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.446, 0.04];[0.446, 0.04];[0.446, 0.04];[0.719, 0.013];[0.7, 0.017];[0.714, 0.012];[0.722, 0.016];[0.704, 0.021];[0.716, 0.014];[0.525, 0.043];[0.526, 0.043];[0.525, 0.044];[0.817, 0.028];[0.712, 0.047];[0.908, 0.02];[0.819, 0.026];[0.716, 0.043];[0.908, 0.02];[77.328, 2.267]
[0, 1, 2, 3, 4];rnm;countries_s3;backward_2;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_2-complex-rnm-None-1-100;4;[0.042, 0.082];[0.042, 0.082];[0.042, 0.082];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.461, 0.073];[0.461, 0.073];[0.461, 0.073];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.497, 0.075];[0.497, 0.075];[0.497, 0.075];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[76.48, 2.462]
[0, 1, 2, 3, 4];dcr;countries_s3;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_3-complex-dcr-None-1-100;4;[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.53, 0.017];[0.53, 0.017];[0.53, 0.017];[0.733, 0.006];[0.712, 0.007];[0.724, 0.005];[0.733, 0.006];[0.712, 0.007];[0.724, 0.005];[0.608, 0.021];[0.566, 0.022];[0.566, 0.022];[0.838, 0.016];[0.752, 0.027];[0.904, 0.032];[0.838, 0.016];[0.752, 0.027];[0.904, 0.032];[102.434, 2.775]
[0, 1, 2, 3, 4];no_reasoner;countries_s3;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_3-complex-no_reasoner-None-1-100;4;[0.042, 0.082];[0.042, 0.082];[0.042, 0.082];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.461, 0.073];[0.461, 0.073];[0.461, 0.073];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.497, 0.075];[0.497, 0.075];[0.497, 0.075];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[12.729, 2.484]
[0, 1, 2, 3, 4];sbr;countries_s3;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_3-complex-sbr-None-1-100;4;[0.042, 0.082];[0.042, 0.082];[0.042, 0.082];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.461, 0.073];[0.461, 0.073];[0.461, 0.073];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.497, 0.075];[0.497, 0.075];[0.497, 0.075];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[94.5, 2.399]
[0, 1, 2, 3, 4];r2n;countries_s3;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_3-complex-r2n-None-1-100;4;[0.014, 0.026];[0.014, 0.026];[0.014, 0.026];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.451, 0.067];[0.451, 0.067];[0.451, 0.067];[0.733, 0.008];[0.716, 0.008];[0.724, 0.01];[0.733, 0.008];[0.716, 0.008];[0.724, 0.01];[0.492, 0.064];[0.492, 0.064];[0.492, 0.064];[0.83, 0.024];[0.74, 0.046];[0.9, 0.018];[0.83, 0.024];[0.74, 0.046];[0.9, 0.018];[95.97, 3.084]
[0, 1, 2, 3, 4];rnm;countries_s3;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s3-backward_3-complex-rnm-None-1-100;4;[0.042, 0.082];[0.042, 0.082];[0.042, 0.082];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.461, 0.073];[0.461, 0.073];[0.461, 0.073];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.73, 0.006];[0.71, 0.006];[0.724, 0.01];[0.497, 0.075];[0.497, 0.075];[0.497, 0.075];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[0.832, 0.019];[0.74, 0.036];[0.908, 0.024];[95.446, 2.986]
