Assuming 9 as type relation
Loading files... 
  Starting train_umls.tsv
  Finished train_umls.tsv, still running: 0
Loaded 1959 facts in 32 ms using -4 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  conceptually_related_to  ?h  ?h  manifestation_of  ?a   => ?a  result_of  ?b	0.015957447	1	1	3	3	3	-1
?h  affects  ?a  ?b  conceptually_related_to  ?h   => ?a  result_of  ?b	0.010638298	0.2	0.333333333	2	10	6	-1
?b  conceptually_related_to  ?h  ?h  process_of  ?a   => ?a  result_of  ?b	0.010638298	0.25	0.5	2	8	4	-1
?a  associated_with  ?h  ?b  diagnoses  ?h   => ?a  result_of  ?b	0.010638298	0.032258065	0.125	2	62	16	-1
?b  conceptually_related_to  ?h  ?a  process_of  ?h   => ?a  result_of  ?b	0.015957447	0.75	0.75	3	4	4	-1
?b  assesses_effect_of  ?h  ?h  degree_of  ?a   => ?a  result_of  ?b	0.010638298	0.333333333	0.333333333	2	6	6	-1
?b  assesses_effect_of  ?h  ?h  causes  ?a   => ?a  result_of  ?b	0.015957447	0.214285714	0.214285714	3	14	14	-1
?h  affects  ?a  ?b  associated_with  ?h   => ?a  result_of  ?b	0.079787234	0.049342105	0.107142857	15	304	140	-1
?b  assesses_effect_of  ?h  ?h  diagnoses  ?a   => ?a  result_of  ?b	0.010638298	0.5	0.5	2	4	4	-1
?b  assesses_effect_of  ?h  ?a  result_of  ?h   => ?a  result_of  ?b	0.010638298	0.1	0.1	2	20	20	-1
?b  associated_with  ?h  ?h  location_of  ?a   => ?a  result_of  ?b	0.031914894	0.095238095	0.166666667	6	63	36	-1
?a  affects  ?h  ?b  conceptually_related_to  ?h   => ?a  result_of  ?b	0.010638298	0.153846154	0.4	2	13	5	-1
?b  associated_with  ?h  ?h  degree_of  ?a   => ?a  result_of  ?b	0.058510638	0.189655172	0.189655172	11	58	58	-1
?b  associated_with  ?h  ?h  manifestation_of  ?a   => ?a  result_of  ?b	0.117021277	0.1375	0.1375	22	160	160	-1
?b  associated_with  ?h  ?h  occurs_in  ?a   => ?a  result_of  ?b	0.04787234	0.080357143	0.209302326	9	112	43	-1
?b  associated_with  ?h  ?h  complicates  ?a   => ?a  result_of  ?b	0.04787234	0.134328358	0.134328358	9	67	67	-1
?b  associated_with  ?h  ?h  measurement_of  ?a   => ?a  result_of  ?b	0.010638298	0.111111111	0.111111111	2	18	18	-1
?b  location_of  ?h  ?a  part_of  ?h   => ?a  result_of  ?b	0.010638298	0.033333333	0.105263158	2	60	19	-1
?b  associated_with  ?h  ?a  degree_of  ?h   => ?a  result_of  ?b	0.069148936	0.224137931	0.224137931	13	58	58	-1
?h  causes  ?a  ?b  measures  ?h   => ?a  result_of  ?b	0.031914894	0.15	0.15	6	40	40	-1
?b  associated_with  ?h  ?a  manifestation_of  ?h   => ?a  result_of  ?b	0.074468085	0.120689655	0.14	14	116	100	-1
?b  associated_with  ?h  ?a  complicates  ?h   => ?a  result_of  ?b	0.053191489	0.056818182	0.151515152	10	176	66	-1
?b  associated_with  ?h  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.058510638	0.189655172	0.189655172	11	58	58	-1
?b  measures  ?h  ?h  precedes  ?a   => ?a  result_of  ?b	0.015957447	0.176470588	0.176470588	3	17	17	-1
?h  associated_with  ?a  ?b  associated_with  ?h   => ?a  result_of  ?b	0.04787234	0.195652174	0.195652174	9	46	46	-1
?b  measures  ?h  ?h  occurs_in  ?a   => ?a  result_of  ?b	0.010638298	0.125	0.25	2	16	8	-1
?b  associated_with  ?h  ?h  precedes  ?a   => ?a  result_of  ?b	0.031914894	0.222222222	0.222222222	6	27	27	-1
?b  analyzes  ?h  ?a  produces  ?h   => ?a  result_of  ?b	0.015957447	0.125	0.2	3	24	15	-1
?h  manifestation_of  ?a  ?b  measures  ?h   => ?a  result_of  ?b	0.021276596	0.16	0.16	4	25	25	-1
?h  associated_with  ?a  ?b  measures  ?h   => ?a  result_of  ?b	0.010638298	0.222222222	0.4	2	9	5	-1
?h  diagnoses  ?a  ?b  measures  ?h   => ?a  result_of  ?b	0.010638298	0.285714286	0.285714286	2	7	7	-1
?b  associated_with  ?h  ?a  co-occurs_with  ?h   => ?a  result_of  ?b	0.042553191	0.2	0.2	8	40	40	-1
?b  associated_with  ?h  ?a  precedes  ?h   => ?a  result_of  ?b	0.04787234	0.18	0.18	9	50	50	-1
?a  complicates  ?h  ?b  treats  ?h   => ?a  result_of  ?b	0.015957447	0.06	0.15	3	50	20	-1
?h  affects  ?a  ?b  analyzes  ?h   => ?a  result_of  ?b	0.026595745	0.2	0.2	5	25	25	-1
?b  analyzes  ?h  ?h  causes  ?a   => ?a  result_of  ?b	0.031914894	0.333333333	0.333333333	6	18	18	-1
?b  analyzes  ?h  ?h  complicates  ?a   => ?a  result_of  ?b	0.015957447	0.375	0.375	3	8	8	-1
?b  manifestation_of  ?h  ?h  process_of  ?a   => ?a  result_of  ?b	0.122340426	0.071875	0.160839161	23	320	143	-1
?a  degree_of  ?h  ?b  measures  ?h   => ?a  result_of  ?b	0.021276596	0.266666667	0.266666667	4	15	15	-1
?h  isa  ?a  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.053191489	0.138888889	0.153846154	10	72	65	-1
?h  associated_with  ?a  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.026595745	0.151515152	0.151515152	5	33	33	-1
?a  co-occurs_with  ?h  ?b  treats  ?h   => ?a  result_of  ?b	0.010638298	0.153846154	0.153846154	2	13	13	-1
?b  manifestation_of  ?h  ?a  result_of  ?h   => ?a  result_of  ?b	0.25	0.164912281	0.164912281	47	285	285	-1
?b  measures  ?h  ?h  prevents  ?a   => ?a  result_of  ?b	0.010638298	0.133333333	0.133333333	2	15	15	-1
?a  manifestation_of  ?h  ?b  measures  ?h   => ?a  result_of  ?b	0.031914894	0.162162162	0.193548387	6	37	31	-1
?h  manifestation_of  ?a  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.095744681	0.1875	0.1875	18	96	96	-1
?b  manifestation_of  ?h  ?h  precedes  ?a   => ?a  result_of  ?b	0.074468085	0.237288136	0.237288136	14	59	59	-1
?b  manifestation_of  ?h  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.031914894	0.166666667	0.166666667	6	36	36	-1
?h  complicates  ?a  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.053191489	0.196078431	0.196078431	10	51	51	-1
?a  co-occurs_with  ?h  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.031914894	0.146341463	0.146341463	6	41	41	-1
?a  location_of  ?h  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.026595745	0.035971223	0.178571429	5	139	28	-1
?a  affects  ?h  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.164893617	0.0625	0.191358025	31	496	162	-1
?h  co-occurs_with  ?a  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.042553191	0.153846154	0.153846154	8	52	52	-1
?a  affects  ?h  ?b  measures  ?h   => ?a  result_of  ?b	0.026595745	0.035211268	0.106382979	5	142	47	-1
?b  method_of  ?h  ?h  treats  ?a   => ?a  result_of  ?b	0.010638298	0.5	0.5	2	4	4	-1
?b  measures  ?h  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.010638298	0.333333333	0.333333333	2	6	6	-1
?b  affects  ?h  ?a  location_of  ?h   => ?a  result_of  ?b	0.069148936	0.029147982	0.142857143	13	446	91	-1
?b  manifestation_of  ?h  ?h  result_of  ?a   => ?a  result_of  ?b	0.212765957	0.132013201	0.16	40	303	250	-1
?a  location_of  ?h  ?h  process_of  ?b   => ?a  result_of  ?b	0.063829787	0.045454545	0.244897959	12	264	49	-1
?a  occurs_in  ?h  ?b  treats  ?h   => ?a  result_of  ?b	0.010638298	0.153846154	0.153846154	2	13	13	-1
?b  manifestation_of  ?h  ?a  process_of  ?h   => ?a  result_of  ?b	0.143617021	0.192857143	0.192857143	27	140	140	-1
?h  degree_of  ?b  ?a  location_of  ?h   => ?a  result_of  ?b	0.015957447	0.049180328	0.1875	3	61	16	-1
?b  manifestation_of  ?h  ?a  precedes  ?h   => ?a  result_of  ?b	0.074468085	0.212121212	0.212121212	14	66	66	-1
?a  manifestation_of  ?h  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.10106383	0.125	0.146153846	19	152	130	-1
?h  affects  ?a  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.154255319	0.079452055	0.166666667	29	365	174	-1
?a  degree_of  ?h  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.04787234	0.169811321	0.169811321	9	53	53	-1
?a  isa  ?h  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.021276596	0.108108108	0.108108108	4	37	37	-1
?b  affects  ?h  ?h  process_of  ?a   => ?a  result_of  ?b	0.276595745	0.050436469	0.110403397	52	1031	471	-1
?b  manifestation_of  ?h  ?h  occurs_in  ?a   => ?a  result_of  ?b	0.042553191	0.091954023	0.242424242	8	87	33	-1
?a  complicates  ?h  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.015957447	0.01986755	0.111111111	3	151	27	-1
?a  location_of  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.10106383	0.067137809	0.322033898	19	283	59	-1
?h  degree_of  ?a  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.037234043	0.134615385	0.134615385	7	52	52	-1
?h  affects  ?a  ?b  affects  ?h   => ?a  result_of  ?b	0.324468085	0.054561717	0.112338858	61	1118	543	-1
?h  isa  ?b  ?a  location_of  ?h   => ?a  result_of  ?b	0.021276596	0.037037037	0.266666667	4	108	15	-1
?b  affects  ?h  ?h  complicates  ?a   => ?a  result_of  ?b	0.117021277	0.157142857	0.157142857	22	140	140	-1
?h  affects  ?b  ?a  location_of  ?h   => ?a  result_of  ?b	0.058510638	0.029411765	0.169230769	11	374	65	-1
?h  co-occurs_with  ?b  ?a  location_of  ?h   => ?a  result_of  ?b	0.010638298	0.036363636	0.166666667	2	55	12	-1
?h  complicates  ?b  ?a  location_of  ?h   => ?a  result_of  ?b	0.015957447	0.028301887	0.1875	3	106	16	-1
?h  causes  ?b  ?a  location_of  ?h   => ?a  result_of  ?b	0.010638298	0.033333333	0.5	2	60	4	-1
?a  location_of  ?h  ?h  precedes  ?b   => ?a  result_of  ?b	0.010638298	0.041666667	0.285714286	2	48	7	-1
?b  manifestation_of  ?h  ?a  measurement_of  ?h   => ?a  result_of  ?b	0.015957447	0.115384615	0.115384615	3	26	26	-1
?b  affects  ?h  ?h  result_of  ?a   => ?a  result_of  ?b	0.5	0.095625636	0.115621156	94	983	813	-1
?b  affects  ?h  ?a  process_of  ?h   => ?a  result_of  ?b	0.414893617	0.147169811	0.147169811	78	530	530	-1
?a  conceptually_related_to  ?h  ?b  manifestation_of  ?h   => ?a  result_of  ?b	0.010638298	0.4	0.4	2	5	5	-1
?b  affects  ?h  ?h  manifestation_of  ?a   => ?a  result_of  ?b	0.180851064	0.117241379	0.117241379	34	290	290	-1
?b  affects  ?h  ?a  associated_with  ?h   => ?a  result_of  ?b	0.085106383	0.039215686	0.175824176	16	408	91	-1
?b  affects  ?h  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.085106383	0.163265306	0.163265306	16	98	98	-1
?b  affects  ?h  ?a  co-occurs_with  ?h   => ?a  result_of  ?b	0.074468085	0.145833333	0.145833333	14	96	96	-1
?b  affects  ?h  ?a  part_of  ?h   => ?a  result_of  ?b	0.074468085	0.084848485	0.29787234	14	165	47	-1
?b  affects  ?h  ?h  co-occurs_with  ?a   => ?a  result_of  ?b	0.117021277	0.144736842	0.144736842	22	152	152	-1
?b  affects  ?h  ?h  occurs_in  ?a   => ?a  result_of  ?b	0.111702128	0.08045977	0.1875	21	261	112	-1
?a  location_of  ?h  ?h  manifestation_of  ?b   => ?a  result_of  ?b	0.037234043	0.053435115	0.269230769	7	131	26	-1
?b  affects  ?h  ?h  associated_with  ?a   => ?a  result_of  ?b	0.090425532	0.134920635	0.155963303	17	126	109	-1
?b  affects  ?h  ?h  causes  ?a   => ?a  result_of  ?b	0.042553191	0.307692308	0.307692308	8	26	26	-1
?b  affects  ?h  ?a  result_of  ?h   => ?a  result_of  ?b	0.558510638	0.110410095	0.110410095	105	951	951	-1
?a  affects  ?h  ?b  affects  ?h   => ?a  result_of  ?b	0.5	0.053500285	0.143292683	94	1757	656	-1
?b  affects  ?h  ?a  precedes  ?h   => ?a  result_of  ?b	0.122340426	0.121693122	0.121693122	23	189	189	-1
?b  affects  ?h  ?a  manifestation_of  ?h   => ?a  result_of  ?b	0.329787234	0.125	0.145199063	62	496	427	-1
?b  affects  ?h  ?a  degree_of  ?h   => ?a  result_of  ?b	0.154255319	0.169590643	0.169590643	29	171	171	-1
?b  affects  ?h  ?a  isa  ?h   => ?a  result_of  ?b	0.170212766	0.133891213	0.171122995	32	239	187	-1
?b  affects  ?h  ?h  degree_of  ?a   => ?a  result_of  ?b	0.170212766	0.17877095	0.17877095	32	179	179	-1
?b  affects  ?h  ?a  complicates  ?h   => ?a  result_of  ?b	0.063829787	0.026548673	0.164383562	12	452	73	-1
?b  affects  ?h  ?a  property_of  ?h   => ?a  result_of  ?b	0.058510638	0.323529412	0.333333333	11	34	33	-1
?b  affects  ?h  ?h  precedes  ?a   => ?a  result_of  ?b	0.138297872	0.140540541	0.140540541	26	185	185	-1
?h  affects  ?b  ?a  isa  ?h   => ?a  result_of  ?b	0.132978723	0.120192308	0.203252033	25	208	123	-1
?b  affects  ?h  ?a  conceptually_related_to  ?h   => ?a  result_of  ?b	0.015957447	0.230769231	0.230769231	3	13	13	-1
?a  isa  ?h  ?h  process_of  ?b   => ?a  result_of  ?b	0.063829787	0.118811881	0.118811881	12	101	101	-1
?a  isa  ?h  ?h  manifestation_of  ?b   => ?a  result_of  ?b	0.031914894	0.222222222	0.222222222	6	27	27	-1
?b  affects  ?h  ?h  measurement_of  ?a   => ?a  result_of  ?b	0.010638298	0.5	0.5	2	4	4	-1
?a  isa  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.175531915	0.284482759	0.284482759	33	116	116	-1
?h  isa  ?b  ?a  isa  ?h   => ?a  result_of  ?b	0.026595745	0.068493151	0.333333333	5	73	15	-1
?h  complicates  ?b  ?a  isa  ?h   => ?a  result_of  ?b	0.015957447	0.230769231	0.333333333	3	13	9	-1
?a  occurs_in  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.164893617	0.333333333	0.333333333	31	93	93	-1
?a  measurement_of  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.063829787	0.25	0.25	12	48	48	-1
?a  complicates  ?h  ?h  manifestation_of  ?b   => ?a  result_of  ?b	0.095744681	0.111111111	0.321428571	18	162	56	-1
?h  affects  ?b  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.042553191	0.129032258	0.129032258	8	62	62	-1
?a  complicates  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.239361702	0.120643432	0.34351145	45	373	131	-1
?h  co-occurs_with  ?b  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.010638298	0.181818182	0.181818182	2	11	11	-1
?a  complicates  ?h  ?h  precedes  ?b   => ?a  result_of  ?b	0.010638298	0.032786885	0.25	2	61	8	-1
?a  isa  ?h  ?h  occurs_in  ?b   => ?a  result_of  ?b	0.015957447	0.157894737	0.157894737	3	19	19	-1
?h  co-occurs_with  ?b  ?a  isa  ?h   => ?a  result_of  ?b	0.010638298	0.5	0.5	2	4	4	-1
?h  diagnoses  ?b  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.010638298	0.133333333	0.133333333	2	15	15	-1
?a  occurs_in  ?h  ?h  performs  ?b   => ?a  result_of  ?b	0.04787234	0.115384615	0.115384615	9	78	78	-1
?h  co-occurs_with  ?b  ?a  measurement_of  ?h   => ?a  result_of  ?b	0.010638298	0.4	0.4	2	5	5	-1
?h  affects  ?b  ?a  complicates  ?h   => ?a  result_of  ?b	0.058510638	0.030470914	0.126436782	11	361	87	-1
?h  complicates  ?b  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.021276596	0.222222222	0.222222222	4	18	18	-1
?a  complicates  ?h  ?h  location_of  ?b   => ?a  result_of  ?b	0.042553191	0.126984127	0.222222222	8	63	36	-1
?h  process_of  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.212765957	0.136986301	0.136986301	40	292	292	-1
?h  affects  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.244680851	0.140243902	0.140243902	46	328	328	-1
?h  associated_with  ?b  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.015957447	0.157894737	0.157894737	3	19	19	-1
?a  complicates  ?h  ?h  isa  ?b   => ?a  result_of  ?b	0.026595745	0.05952381	0.217391304	5	84	23	-1
?h  complicates  ?b  ?a  complicates  ?h   => ?a  result_of  ?b	0.021276596	0.070175439	0.210526316	4	57	19	-1
?a  complicates  ?h  ?h  process_of  ?b   => ?a  result_of  ?b	0.021276596	0.014760148	0.1	4	271	40	-1
?h  degree_of  ?b  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.010638298	0.142857143	0.142857143	2	14	14	-1
?h  conceptual_part_of  ?b  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.010638298	0.5	0.5	2	4	4	-1
?a  occurs_in  ?h  ?h  process_of  ?b   => ?a  result_of  ?b	0.04787234	0.183673469	0.183673469	9	49	49	-1
?a  process_of  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.414893617	0.3046875	0.3046875	78	256	256	-1
?h  isa  ?b  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.042553191	0.195121951	0.195121951	8	41	41	-1
?h  manifestation_of  ?b  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.031914894	0.222222222	0.222222222	6	27	27	-1
?h  causes  ?b  ?a  produces  ?h   => ?a  result_of  ?b	0.143617021	0.175324675	0.333333333	27	154	81	-1
?h  affects  ?b  ?a  produces  ?h   => ?a  result_of  ?b	0.127659574	0.151898734	0.32	24	158	75	-1
?h  exhibits  ?b  ?a  occurs_in  ?h   => ?a  result_of  ?b	0.010638298	0.142857143	0.142857143	2	14	14	-1
?h  occurs_in  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.04787234	0.125	0.125	9	72	72	-1
?h  affects  ?b  ?a  manifestation_of  ?h   => ?a  result_of  ?b	0.244680851	0.126027397	0.146496815	46	365	314	-1
?h  degree_of  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.069148936	0.265306122	0.265306122	13	49	49	-1
?h  complicates  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.037234043	0.233333333	0.233333333	7	30	30	-1
?a  occurs_in  ?h  ?h  precedes  ?b   => ?a  result_of  ?b	0.010638298	0.285714286	0.285714286	2	7	7	-1
?h  degree_of  ?b  ?a  manifestation_of  ?h   => ?a  result_of  ?b	0.058510638	0.211538462	0.244444444	11	52	45	-1
?h  complicates  ?b  ?a  produces  ?h   => ?a  result_of  ?b	0.138297872	0.183098592	0.276595745	26	142	94	-1
?h  associated_with  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.015957447	0.130434783	0.130434783	3	23	23	-1
?h  exhibits  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.015957447	0.157894737	0.157894737	3	19	19	-1
?h  precedes  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.106382979	0.384615385	0.384615385	20	52	52	-1
?h  disrupts  ?b  ?a  produces  ?h   => ?a  result_of  ?b	0.095744681	0.140625	0.204545455	18	128	88	-1
?h  co-occurs_with  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.069148936	0.302325581	0.302325581	13	43	43	-1
?a  manifestation_of  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.39893617	0.247524752	0.291828794	75	303	257	-1
?a  affects  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.473404255	0.090539166	0.273846154	89	983	325	-1
?h  manifestation_of  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.090425532	0.274193548	0.274193548	17	62	62	-1
?h  causes  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.037234043	0.318181818	0.318181818	7	22	22	-1
?a  manifestation_of  ?h  ?h  process_of  ?b   => ?a  result_of  ?b	0.207446809	0.121875	0.14028777	39	320	278	-1
?h  isa  ?b  ?a  process_of  ?h   => ?a  result_of  ?b	0.117021277	0.203703704	0.203703704	22	108	108	-1
?a  manifestation_of  ?h  ?h  precedes  ?b   => ?a  result_of  ?b	0.058510638	0.186440678	0.203703704	11	59	54	-1
?h  manifestation_of  ?b  ?a  manifestation_of  ?h   => ?a  result_of  ?b	0.10106383	0.197916667	0.243589744	19	96	78	-1
?a  affects  ?h  ?h  co-occurs_with  ?b   => ?a  result_of  ?b	0.079787234	0.098684211	0.3	15	152	50	-1
?h  complicates  ?b  ?a  manifestation_of  ?h   => ?a  result_of  ?b	0.037234043	0.137254902	0.159090909	7	51	44	-1
?h  location_of  ?b  ?a  produces  ?h   => ?a  result_of  ?b	0.010638298	0.2	0.2	2	10	10	-1
?a  co-occurs_with  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.218085106	0.35042735	0.35042735	41	117	117	-1
?h  associated_with  ?b  ?a  manifestation_of  ?h   => ?a  result_of  ?b	0.015957447	0.090909091	0.107142857	3	33	28	-1
?h  affects  ?b  ?a  affects  ?h   => ?a  result_of  ?b	0.223404255	0.037567084	0.113207547	42	1118	371	-1
?a  affects  ?h  ?h  process_of  ?b   => ?a  result_of  ?b	0.265957447	0.048496605	0.149253731	50	1031	335	-1
?h  isa  ?b  ?a  manifestation_of  ?h   => ?a  result_of  ?b	0.122340426	0.319444444	0.37704918	23	72	61	-1
?a  affects  ?h  ?h  manifestation_of  ?b   => ?a  result_of  ?b	0.127659574	0.082758621	0.263736264	24	290	91	-1
?a  affects  ?h  ?h  degree_of  ?b   => ?a  result_of  ?b	0.058510638	0.061452514	0.20754717	11	179	53	-1
?a  affects  ?h  ?h  precedes  ?b   => ?a  result_of  ?b	0.117021277	0.118918919	0.35483871	22	185	62	-1
?h  co-occurs_with  ?b  ?a  manifestation_of  ?h   => ?a  result_of  ?b	0.04787234	0.173076923	0.214285714	9	52	42	-1
?a  affects  ?h  ?h  causes  ?b   => ?a  result_of  ?b	0.042553191	0.307692308	0.307692308	8	26	26	-1
?a  affects  ?h  ?h  associated_with  ?b   => ?a  result_of  ?b	0.037234043	0.055555556	0.162790698	7	126	43	-1
?h  co-occurs_with  ?b  ?a  precedes  ?h   => ?a  result_of  ?b	0.021276596	0.285714286	0.285714286	4	14	14	-1
?a  affects  ?h  ?h  complicates  ?b   => ?a  result_of  ?b	0.042553191	0.057142857	0.19047619	8	140	42	-1
?h  affects  ?b  ?a  co-occurs_with  ?h   => ?a  result_of  ?b	0.063829787	0.112149533	0.112149533	12	107	107	-1
?a  co-occurs_with  ?h  ?h  process_of  ?b   => ?a  result_of  ?b	0.04787234	0.15	0.15	9	60	60	-1
?a  co-occurs_with  ?h  ?h  manifestation_of  ?b   => ?a  result_of  ?b	0.053191489	0.277777778	0.277777778	10	36	36	-1
?a  affects  ?h  ?h  isa  ?b   => ?a  result_of  ?b	0.138297872	0.090909091	0.191176471	26	286	136	-1
?h  affects  ?b  ?a  degree_of  ?h   => ?a  result_of  ?b	0.10106383	0.158333333	0.158333333	19	120	120	-1
?h  co-occurs_with  ?b  ?a  co-occurs_with  ?h   => ?a  result_of  ?b	0.021276596	0.333333333	0.333333333	4	12	12	-1
?a  co-occurs_with  ?h  ?h  isa  ?b   => ?a  result_of  ?b	0.026595745	0.238095238	0.238095238	5	21	21	-1
?a  co-occurs_with  ?h  ?h  location_of  ?b   => ?a  result_of  ?b	0.015957447	0.142857143	0.142857143	3	21	21	-1
?h  degree_of  ?b  ?a  degree_of  ?h   => ?a  result_of  ?b	0.037234043	0.291666667	0.291666667	7	24	24	-1
?a  degree_of  ?h  ?h  occurs_in  ?b   => ?a  result_of  ?b	0.026595745	0.138888889	0.138888889	5	36	36	-1
?a  co-occurs_with  ?h  ?h  precedes  ?b   => ?a  result_of  ?b	0.010638298	0.222222222	0.222222222	2	9	9	-1
?h  affects  ?b  ?a  precedes  ?h   => ?a  result_of  ?b	0.117021277	0.134969325	0.134969325	22	163	163	-1
?h  associated_with  ?b  ?a  degree_of  ?h   => ?a  result_of  ?b	0.015957447	0.25	0.25	3	12	12	-1
?a  precedes  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.180851064	0.314814815	0.314814815	34	108	108	-1
?h  degree_of  ?b  ?a  precedes  ?h   => ?a  result_of  ?b	0.021276596	0.235294118	0.235294118	4	17	17	-1
?a  associated_with  ?g  ?g  manifestation_of  ?b   => ?a  result_of  ?b	0.053191489	0.0625	0.2	10	160	50	-1
?h  isa  ?b  ?a  precedes  ?h   => ?a  result_of  ?b	0.037234043	0.333333333	0.333333333	7	21	21	-1
?h  occurs_in  ?b  ?a  precedes  ?h   => ?a  result_of  ?b	0.015957447	0.130434783	0.130434783	3	23	23	-1
?g  manifestation_of  ?b  ?g  result_of  ?a   => ?a  result_of  ?b	0.340425532	0.230215827	0.290909091	64	278	220	-1
?h  precedes  ?b  ?a  precedes  ?h   => ?a  result_of  ?b	0.010638298	0.117647059	0.117647059	2	17	17	-1
?a  degree_of  ?h  ?h  result_of  ?b   => ?a  result_of  ?b	0.207446809	0.339130435	0.339130435	39	115	115	-1
?a  degree_of  ?h  ?h  process_of  ?b   => ?a  result_of  ?b	0.127659574	0.206896552	0.206896552	24	116	116	-1
?a  co-occurs_with  ?h  ?h  complicates  ?b   => ?a  result_of  ?b	0.026595745	0.357142857	0.357142857	5	14	14	-1
?g  manifestation_of  ?b  ?g  process_of  ?a   => ?a  result_of  ?b	0.090425532	0.099415205	0.209876543	17	171	81	-1
?a  degree_of  ?h  ?h  manifestation_of  ?b   => ?a  result_of  ?b	0.069148936	0.276595745	0.276595745	13	47	47	-1
?a  degree_of  ?h  ?h  isa  ?b   => ?a  result_of  ?b	0.053191489	0.434782609	0.434782609	10	23	23	-1
?g  location_of  ?a  ?g  manifestation_of  ?b   => ?a  result_of  ?b	0.069148936	0.26	0.419354839	13	50	31	-1
?g  degree_of  ?a  ?g  manifestation_of  ?b   => ?a  result_of  ?b	0.058510638	0.244444444	0.244444444	11	45	45	-1
?a  degree_of  ?h  ?h  precedes  ?b   => ?a  result_of  ?b	0.026595745	0.3125	0.3125	5	16	16	-1
?h  complicates  ?b  ?a  degree_of  ?h   => ?a  result_of  ?b	0.015957447	0.136363636	0.136363636	3	22	22	-1
?h  co-occurs_with  ?b  ?a  degree_of  ?h   => ?a  result_of  ?b	0.010638298	0.133333333	0.133333333	2	15	15	-1
?h  manifestation_of  ?b  ?a  precedes  ?h   => ?a  result_of  ?b	0.037234043	0.259259259	0.259259259	7	27	27	-1
?g  manifestation_of  ?b  ?a  result_of  ?g   => ?a  result_of  ?b	0.324468085	0.2760181	0.2760181	61	221	221	-1
?g  evaluation_of  ?b  ?g  indicates  ?a   => ?a  result_of  ?b	0.095744681	0.45	0.45	18	40	40	-1
?g  evaluation_of  ?a  ?g  evaluation_of  ?b   => ?a  result_of  ?b	0.085106383	0.246153846	0.253968254	16	65	63	-1
?g  associated_with  ?a  ?g  manifestation_of  ?b   => ?a  result_of  ?b	0.117021277	0.309859155	0.34375	22	71	64	-1
